Anatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,1445,683
Apodichthys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,1050,0,0,0
Aulorhynchus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074,5003,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys,0,0,0,0,0,0,0,0,0,22489,15492,19900,26451,46363,18808,16936,11815,20691,4377,21225,7210,9801,3039,3752,1853,10278,11997,0,0,0,0,0,0,0,0,0
Clinocottus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826,524,433,3639,3378,6343
Embiotoca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,3348,1650,3187,0,3604,813,3899,3402,1855,5903
Engraulis,11304,14810,12051,1940,22715,5078,416,724,1538,1467,0,1810,0,0,0,0,0,0,899,0,12240,778,5640,103,1316,0,292,4553,2913,2987,3593,0,293,830,6134,2377
Enhydra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,1429,0,22283,9708,21759,0,0,0,0,0,0,1950,416,2549
Gibbonsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,3301,4784,0,0,0,840,886,5079,41941,44028,40239,33543,12996,34189,10903,6517,9337
Girella,0,0,0,0,0,0,0,0,0,88,0,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8253,4098,0,2063,0,2042,1004,1534,2230
Grampus,3222,6646,12388,3439,8945,8183,667,617,688,488,5108,2179,1479,6028,251,0,0,0,547,6744,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,711
Hexagrammos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,8002,0,3547,7658,2233,4431,7561,0,2595,2506,5999,0,0,0,0,0,0
Larus,0,0,0,0,0,0,0,508,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,775,0,106,138,8467,3501,4057
Mola,0,0,0,0,0,0,0,0,0,0,0,0,4226,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odontesthes,0,0,0,237,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiodon,0,0,0,0,0,0,0,0,0,1248,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,1443,0,0,0,0,0,0,0,0,0
Oxyjulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882,0,7685,0,975,2334,0,0,0,0,0,0,0,0,0
Oxylebius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3916,9921,5826,0,0,0,5898,3168,3574,18757,15688,10051,2920,403,375,0,0,0,0,2296,532
Paralichthyidae,0,0,0,0,0,0,0,0,0,0,6186,2014,0,0,0,0,0,0,2904,25659,0,1305,416,4296,0,956,953,624,0,26,0,0,0,0,0,0
Phalacrocorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9750,0,5031,35893,27181,35160,87376,61117,93095,11029,25131,22124
Phocidae,0,0,0,0,0,0,296,15,0,1139,0,196,0,0,0,0,0,0,1037,685,2442,5390,356,2453,11897,4690,4950,3925,3148,1241,25928,14294,23467,106533,108247,121541
Pleuronichthys,0,0,0,0,0,0,0,0,0,397,0,2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,3172,0
Rhacochilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247,941,0,818,1672,0,0,0,1051,2180,971
Scombridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,650,0,0,0,0,0,0,0,0,0,0
Scorpaenichthys,0,0,0,0,0,0,0,0,0,0,0,0,11932,27076,43002,644,8887,0,0,0,0,2458,3658,8132,30552,25310,35101,33414,35309,22147,24246,11605,12508,10298,4289,13771
Sebastes,0,0,0,8642,0,1478,2656,0,278,10269,16163,13160,18633,30418,25719,27202,73582,72720,33267,8297,41597,32534,52541,28167,31699,49127,47731,6182,9783,6166,20421,9115,12732,5012,5946,7876
Stichaeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,1130,888,0,2088,1666,1281,793,1134
Syngnathus,0,0,0,0,0,0,155,82,104,1946,4374,0,0,0,0,0,0,0,0,5692,3996,1890,0,3814,0,0,0,513,362,0,0,0,0,0,0,0
Zalophus,6038,9815,7866,6575,16542,15307,163988,144358,148595,3060,276,3504,0,0,0,0,0,0,2424,0,10158,457,0,3897,0,0,0,1588,230,837,0,0,0,0,0,0
Surfperch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3087,4289,1650,4005,1672,3604,813,3899,4453,4035,6874
Greenling,0,0,0,0,0,0,0,0,0,1248,1235,0,0,0,0,3916,9921,5826,725,8002,0,9445,10826,5807,23188,25047,11494,5515,2909,6374,0,0,0,0,2296,532
Sculpin,0,0,0,0,0,0,0,0,0,0,0,0,11932,27076,43002,644,8887,0,0,0,0,2458,3658,8132,30552,25310,35101,33414,35309,22147,27072,12129,12941,13937,7667,20114
Flatfish,0,0,0,0,0,0,0,0,0,22886,21678,24723,26451,46363,18808,16936,11815,20691,7281,46884,7210,11106,3455,8048,1853,11234,12950,624,0,26,0,0,0,1372,3172,0
Pinniped,6038,9815,7866,6575,16542,15307,164284,144373,148595,4199,276,3700,0,0,0,0,0,0,3461,685,12600,5847,356,6350,11897,4690,4950,5513,3378,2078,25928,14294,23467,106533,108247,121541
Bird,0,0,0,157,0,2073,0,508,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9750,0,5031,35893,28263,35935,87376,61223,93233,19781,30077,26864
